datetime,line_id,inflow_m3d,per
2018-01-01,7671566,91333.4,0
2018-02-01,7671566,793488.0,1
2018-03-01,7671566,325399.0,2
2018-04-01,7671566,325710.0,3
2018-05-01,7671566,145262.0,4
2018-06-01,7671566,236858.0,5
2018-07-01,7671566,69911.1,6
2018-08-01,7671566,105435.0,7
2018-09-01,7671566,151229.0,8
2018-10-01,7671566,70593.0,9
2018-11-01,7671566,162788.0,10
2018-12-01,7671566,255219.0,11
2018-01-01,7671958,1224640.0,0
2018-02-01,7671958,6699070.0,1
2018-03-01,7671958,6551710.0,2
2018-04-01,7671958,5578310.0,3
2018-05-01,7671958,4100510.0,4
2018-06-01,7671958,1691820.0,5
2018-07-01,7671958,976081.0,6
2018-08-01,7671958,1485100.0,7
2018-09-01,7671958,1701670.0,8
2018-10-01,7671958,1038510.0,9
2018-11-01,7671958,1856020.0,10
2018-12-01,7671958,4362460.0,11
2018-01-01,7672132,178638.0,0
2018-02-01,7672132,2208320.0,1
2018-03-01,7672132,1172940.0,2
2018-04-01,7672132,930036.0,3
2018-05-01,7672132,535198.0,4
2018-06-01,7672132,114318.0,5
2018-07-01,7672132,45717.9,6
2018-08-01,7672132,118514.0,7
2018-09-01,7672132,213633.0,8
2018-10-01,7672132,115706.0,9
2018-11-01,7672132,374177.0,10
2018-12-01,7672132,690925.0,11
2018-01-01,8342379,47029.8,0
2018-02-01,8342379,930330.0,1
2018-03-01,8342379,767860.0,2
2018-04-01,8342379,516303.0,3
2018-05-01,8342379,86500.4,4
2018-06-01,8342379,21758.1,5
2018-07-01,8342379,2660.31,6
2018-08-01,8342379,3532.05,7
2018-09-01,8342379,25161.8,8
2018-10-01,8342379,497222.0,9
2018-11-01,8342379,918966.0,10
2018-12-01,8342379,1557150.0,11
2018-01-01,8342385,35898.6,0
2018-02-01,8342385,610041.0,1
2018-03-01,8342385,417941.0,2
2018-04-01,8342385,235943.0,3
2018-05-01,8342385,73210.1,4
2018-06-01,8342385,18831.9,5
2018-07-01,8342385,2392.67,6
2018-08-01,8342385,3488.84,7
2018-09-01,8342385,89893.8,8
2018-10-01,8342385,323300.0,9
2018-11-01,8342385,532040.0,10
2018-12-01,8342385,674252.0,11
2018-01-01,8342605,78944.9,0
2018-02-01,8342605,529813.0,1
2018-03-01,8342605,325930.0,2
2018-04-01,8342605,215591.0,3
2018-05-01,8342605,53050.6,4
2018-06-01,8342605,17266.5,5
2018-07-01,8342605,6885.18,6
2018-08-01,8342605,6046.86,7
2018-09-01,8342605,38667.9,8
2018-10-01,8342605,154651.0,9
2018-11-01,8342605,406163.0,10
2018-12-01,8342605,580790.0,11
2018-01-01,8342715,53156.7,0
2018-02-01,8342715,567853.0,1
2018-03-01,8342715,415079.0,2
2018-04-01,8342715,248261.0,3
2018-05-01,8342715,84495.2,4
2018-06-01,8342715,19688.1,5
2018-07-01,8342715,2141.26,6
2018-08-01,8342715,2975.62,7
2018-09-01,8342715,18680.6,8
2018-10-01,8342715,285520.0,9
2018-11-01,8342715,444349.0,10
2018-12-01,8342715,619666.0,11
2018-01-01,8342723,50286.4,0
2018-02-01,8342723,881401.0,1
2018-03-01,8342723,789975.0,2
2018-04-01,8342723,509879.0,3
2018-05-01,8342723,95902.3,4
2018-06-01,8342723,21363.9,5
2018-07-01,8342723,2215.75,6
2018-08-01,8342723,2914.41,7
2018-09-01,8342723,16890.1,8
2018-10-01,8342723,426810.0,9
2018-11-01,8342723,706414.0,10
2018-12-01,8342723,1528400.0,11
2018-01-01,8342787,71221.0,0
2018-02-01,8342787,555189.0,1
2018-03-01,8342787,324122.0,2
2018-04-01,8342787,221109.0,3
2018-05-01,8342787,64970.5,4
2018-06-01,8342787,20333.0,5
2018-07-01,8342787,10043.5,6
2018-08-01,8342787,11283.4,7
2018-09-01,8342787,48026.0,8
2018-10-01,8342787,71629.9,9
2018-11-01,8342787,489428.0,10
2018-12-01,8342787,578972.0,11
2018-01-01,8342885,51947.2,0
2018-02-01,8342885,1104860.0,1
2018-03-01,8342885,576115.0,2
2018-04-01,8342885,317932.0,3
2018-05-01,8342885,49146.3,4
2018-06-01,8342885,16172.0,5
2018-07-01,8342885,3793.88,6
2018-08-01,8342885,5392.77,7
2018-09-01,8342885,23524.4,8
2018-10-01,8342885,435319.0,9
2018-11-01,8342885,701558.0,10
2018-12-01,8342885,1426680.0,11
2018-01-01,8342891,87531.9,0
2018-02-01,8342891,1072640.0,1
2018-03-01,8342891,1040250.0,2
2018-04-01,8342891,534308.0,3
2018-05-01,8342891,79814.4,4
2018-06-01,8342891,20307.0,5
2018-07-01,8342891,5001.34,6
2018-08-01,8342891,6099.29,7
2018-09-01,8342891,24691.1,8
2018-10-01,8342891,502987.0,9
2018-11-01,8342891,826666.0,10
2018-12-01,8342891,1718130.0,11
2018-01-01,8344229,98967.7,0
2018-02-01,8344229,643900.0,1
2018-03-01,8344229,345679.0,2
2018-04-01,8344229,210520.0,3
2018-05-01,8344229,67088.3,4
2018-06-01,8344229,27361.3,5
2018-07-01,8344229,35209.6,6
2018-08-01,8344229,97079.4,7
2018-09-01,8344229,59715.8,8
2018-10-01,8344229,73706.3,9
2018-11-01,8344229,407891.0,10
2018-12-01,8344229,561244.0,11
2018-01-01,8344243,211042.0,0
2018-02-01,8344243,1664630.0,1
2018-03-01,8344243,674443.0,2
2018-04-01,8344243,289501.0,3
2018-05-01,8344243,52937.3,4
2018-06-01,8344243,22516.4,5
2018-07-01,8344243,48936.9,6
2018-08-01,8344243,88237.7,7
2018-09-01,8344243,49394.6,8
2018-10-01,8344243,100103.0,9
2018-11-01,8344243,753335.0,10
2018-12-01,8344243,1303560.0,11
2018-01-01,8344267,513950.0,0
2018-02-01,8344267,2474780.0,1
2018-03-01,8344267,1336590.0,2
2018-04-01,8344267,582114.0,3
2018-05-01,8344267,115040.0,4
2018-06-01,8344267,85580.5,5
2018-07-01,8344267,420062.0,6
2018-08-01,8344267,192394.0,7
2018-09-01,8344267,134082.0,8
2018-10-01,8344267,753178.0,9
2018-11-01,8344267,856054.0,10
2018-12-01,8344267,2238790.0,11
2018-01-01,8344293,130351.0,0
2018-02-01,8344293,933239.0,1
2018-03-01,8344293,367074.0,2
2018-04-01,8344293,164950.0,3
2018-05-01,8344293,45892.6,4
2018-06-01,8344293,21320.7,5
2018-07-01,8344293,71639.6,6
2018-08-01,8344293,29522.3,7
2018-09-01,8344293,30545.0,8
2018-10-01,8344293,253725.0,9
2018-11-01,8344293,386990.0,10
2018-12-01,8344293,634617.0,11
2018-01-01,9268692,156855.0,0
2018-02-01,9268692,1471050.0,1
2018-03-01,9268692,631623.0,2
2018-04-01,9268692,648421.0,3
2018-05-01,9268692,402413.0,4
2018-06-01,9268692,325407.0,5
2018-07-01,9268692,71554.8,6
2018-08-01,9268692,131896.0,7
2018-09-01,9268692,105359.0,8
2018-10-01,9268692,72225.6,9
2018-11-01,9268692,298805.0,10
2018-12-01,9268692,510933.0,11
2018-01-01,11780423,106981.0,0
2018-02-01,11780423,932498.0,1
2018-03-01,11780423,280715.0,2
2018-04-01,11780423,143899.0,3
2018-05-01,11780423,78811.5,4
2018-06-01,11780423,30676.1,5
2018-07-01,11780423,8667.95,6
2018-08-01,11780423,142740.0,7
2018-09-01,11780423,755659.0,8
2018-10-01,11780423,132994.0,9
2018-11-01,11780423,171780.0,10
2018-12-01,11780423,489870.0,11
2018-01-01,11780425,108686.0,0
2018-02-01,11780425,948072.0,1
2018-03-01,11780425,282741.0,2
2018-04-01,11780425,144755.0,3
2018-05-01,11780425,100971.0,4
2018-06-01,11780425,31966.5,5
2018-07-01,11780425,9081.88,6
2018-08-01,11780425,144080.0,7
2018-09-01,11780425,785791.0,8
2018-10-01,11780425,126330.0,9
2018-11-01,11780425,174719.0,10
2018-12-01,11780425,521010.0,11
2018-01-01,11782705,2203690.0,0
2018-02-01,11782705,23719200.0,1
2018-03-01,11782705,12619600.0,2
2018-04-01,11782705,6552270.0,3
2018-05-01,11782705,3738320.0,4
2018-06-01,11782705,1436620.0,5
2018-07-01,11782705,1419740.0,6
2018-08-01,11782705,9284800.0,7
2018-09-01,11782705,6467620.0,8
2018-10-01,11782705,5389170.0,9
2018-11-01,11782705,9373220.0,10
2018-12-01,11782705,15092300.0,11
2018-01-01,11800183,183906.0,0
2018-02-01,11800183,2294200.0,1
2018-03-01,11800183,730689.0,2
2018-04-01,11800183,427931.0,3
2018-05-01,11800183,364488.0,4
2018-06-01,11800183,63996.5,5
2018-07-01,11800183,15141.6,6
2018-08-01,11800183,326190.0,7
2018-09-01,11800183,240432.0,8
2018-10-01,11800183,309144.0,9
2018-11-01,11800183,700765.0,10
2018-12-01,11800183,1223890.0,11
2018-01-01,11800401,112334.0,0
2018-02-01,11800401,954925.0,1
2018-03-01,11800401,275761.0,2
2018-04-01,11800401,160088.0,3
2018-05-01,11800401,107062.0,4
2018-06-01,11800401,35530.4,5
2018-07-01,11800401,9622.75,6
2018-08-01,11800401,134802.0,7
2018-09-01,11800401,113334.0,8
2018-10-01,11800401,104089.0,9
2018-11-01,11800401,187842.0,10
2018-12-01,11800401,439067.0,11
2018-01-01,11800567,108529.0,0
2018-02-01,11800567,992184.0,1
2018-03-01,11800567,282279.0,2
2018-04-01,11800567,147017.0,3
2018-05-01,11800567,109305.0,4
2018-06-01,11800567,32239.3,5
2018-07-01,11800567,10168.8,6
2018-08-01,11800567,66646.4,7
2018-09-01,11800567,146072.0,8
2018-10-01,11800567,121239.0,9
2018-11-01,11800567,204570.0,10
2018-12-01,11800567,497961.0,11
2018-01-01,11809912,101163.0,0
2018-02-01,11809912,790508.0,1
2018-03-01,11809912,313123.0,2
2018-04-01,11809912,258451.0,3
2018-05-01,11809912,225851.0,4
2018-06-01,11809912,155452.0,5
2018-07-01,11809912,70791.9,6
2018-08-01,11809912,124383.0,7
2018-09-01,11809912,90731.5,8
2018-10-01,11809912,70215.0,9
2018-11-01,11809912,148895.0,10
2018-12-01,11809912,442568.0,11
2018-01-01,11810128,86926.8,0
2018-02-01,11810128,901898.0,1
2018-03-01,11810128,264365.0,2
2018-04-01,11810128,157697.0,3
